TITLE="privet"
VARIABLES="x", "y", "z"
ZONE T="zone", I=100, J=100, F=POINT
-2.51327 -5.5292 1.55438e-009
-2.38761 -5.5292 2.1149e-009
-2.26195 -5.5292 2.83247e-009
-2.13628 -5.5292 3.73406e-009
-2.01062 -5.5292 4.84552e-009
-1.88495 -5.5292 6.18929e-009
-1.75929 -5.5292 7.78186e-009
-1.63363 -5.5292 9.63092e-009
-1.50796 -5.5292 1.17326e-008
-1.3823 -5.5292 1.4069e-008
-1.25664 -5.5292 1.66063e-008
-1.13097 -5.5292 1.92941e-008
-1.00531 -5.5292 2.20657e-008
-0.879644 -5.5292 2.48401e-008
-0.75398 -5.5292 2.75252e-008
-0.628317 -5.5292 3.00228e-008
-0.502653 -5.5292 3.22338e-008
-0.376989 -5.5292 3.40655e-008
-0.251325 -5.5292 3.54373e-008
-0.125662 -5.5292 3.62867e-008
1.93715e-006 -5.5292 3.65743e-008
0.125666 -5.5292 3.62867e-008
0.251329 -5.5292 3.54372e-008
0.376993 -5.5292 3.40655e-008
0.502657 -5.5292 3.22338e-008
0.62832 -5.5292 3.00227e-008
0.753984 -5.5292 2.75252e-008
0.879648 -5.5292 2.484e-008
1.00531 -5.5292 2.20656e-008
1.13098 -5.5292 1.9294e-008
1.25664 -5.5292 1.66062e-008
1.3823 -5.5292 1.40689e-008
1.50797 -5.5292 1.17325e-008
1.63363 -5.5292 9.63086e-009
1.75929 -5.5292 7.78181e-009
1.88496 -5.5292 6.18925e-009
2.01062 -5.5292 4.84548e-009
2.13629 -5.5292 3.73403e-009
2.26195 -5.5292 2.83244e-009
2.38761 -5.5292 2.11488e-009
2.51328 -5.5292 1.55436e-009
2.63894 -5.5292 1.12451e-009
2.7646 -5.5292 8.00778e-010
2.89027 -5.5292 5.61312e-010
3.01593 -5.5292 3.87293e-010
3.1416 -5.5292 2.63036e-010
3.26726 -5.5292 1.75846e-010
3.39292 -5.5292 1.15716e-010
3.51859 -5.5292 7.49541e-011
3.64425 -5.5292 4.77902e-011
3.76991 -5.5292 2.99933e-011
3.89558 -5.5292 1.8529e-011
4.02124 -5.5292 1.12673e-011
4.14691 -5.5292 6.74424e-012
4.27257 -5.5292 3.97362e-012
4.39823 -5.5292 2.30453e-012
4.5239 -5.5292 1.31558e-012
4.64956 -5.5292 7.39261e-013
4.77522 -5.5292 4.08901e-013
4.90089 -5.5292 2.22629e-013
5.02655 -5.5292 1.19313e-013
5.15222 -5.5292 6.29408e-014
5.27788 -5.5292 3.26829e-014
5.40354 -5.5292 1.67052e-014
5.52921 -5.5292 8.40472e-015
